publisher,topic,publisher_id,post_id,permalink_url
HuffingtonPost,Grenfell,143753582359049,1525660187501708,https://www.facebook.com/HuffPostUK/posts/1525660187501708
DailyMail,Grenfell,164305410295882,2419740744752326,https://www.facebook.com/DailyMail/posts/2419740744752326?match=aHVnZSBpbmZlcm5vIGF0IHdlc3QgbG9uZG9uIHRvd2VyIGJsb2NrLHdlc3QgbG9uZG9uIHRvd2VyIGJsb2NrLGh1Z2UgaW5mZXJubw%3D%3D
Standard,Grenfell,165348596842143,1596246593752329,https://www.facebook.com/eveningstandard/posts/1596246593752329?match=cHJhaXNlIGZvciBoZXJvaWMgZmlyZWZpZ2h0ZXJzIHdobw%3D%3D
Guardian,Grenfell,10513336322,10155569042641323,https://www.facebook.com/theguardian/posts/10155569042641323?match=dG9vIHNjYXJlZCB0byBtZWV0LHRoZXJlc2EgbWF5LG1heQ%3D%3D
Independent,Grenfell,13312631635,10154905025281636,https://www.facebook.com/TheIndependentOnline/posts/10154905025281636?match=Y29yYnluIGNhbGxzIGZvciBrZW5zaW5ndG9uIGhvbWVzIGxlZnQgZW1wdHkgYnkgbWlsbGlvbmFpcmVz
Telegraph,Grenfell,143666524748,10155841449899749,https://www.facebook.com/TELEGRAPH.CO.UK/posts/10155841449899749?match=YmFieSBkcm9wcGVkIGZyb20gMTB0aCBmbG9vciBvZiBncmVuZmVsbCB0b3dlciBjYXVnaHQgYnkgbWFuIG9uIGdyb3VuZCxiYWJ5
TheSun,Grenfell,161385360554578,2011029558923473,https://www.facebook.com/thesun/posts/2011029558923473?match=Z3JlbmZlbGwsdGhlIHN1bg%3D%3D
BBC,Grenfell,228735667216,10154776414897217,https://www.facebook.com/bbcnews/posts/10154776414897217
EveningStandard,A50_Commons,165348596842143,1434743636569293,https://www.facebook.com/eveningstandard/posts/1434743636569293?match=aG91c2Ugb2YgY29tbW9ucyB2b3Rlcyxob3VzZSBvZiBjb21tb25zLHZvdGUgb24sYnJleGl0
FinancialTimes,A50_Commons,8860325749,10154931960880750,https://www.facebook.com/financialtimes/posts/10154931960880750?match=aG91c2Ugb2YgY29tbW9ucyxicmV4aXQsdm90ZWQ%3D
Sun,A50_Commons,161385360554578,1777579698935128,https://www.facebook.com/thesun/posts/1777579698935128?match=dGhlIHN1bixicmV4aXQ%3D
